registration_id,category,local_result,live_result,parameters,reason,live_evidence
CustomBinning,inference_eligible,pass,pass,"[{""case"":""R2"",""params"":{""columns"":[""x""],""bins"":[-1000.0,0.0,5.0,10.0,1000.0],""output_suffix"":""_band""}}]",Full-pipeline fit/save/load/predict passed in five-model local test.,217135029658639
GeneralBinning,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""num_a""],""n_bins"":4,""strategy"":""uniform""}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
KBinsDiscretizer,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""num_a""],""n_bins"":4,""strategy"":""uniform""}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
Casting,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""num_a""],""target_type"":""float32""}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
AliasReplacement,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""cat_low""],""alias_type"":""custom"",""custom_map"":{""red"":""warm""}}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
InvalidValueReplacement,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""num_a"",""num_b"",""num_c""],""rule"":""negative""}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
TextCleaning,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""cat_low""],""operations"":[{""op"":""case"",""mode"":""upper""}]}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
ValueReplacement,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""cat_low""],""mapping"":{""red"":""warm""}}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
Deduplicate,train_only,targeted_tests_pass,not_applicable,,Existing train/split/row-effect integration tests passed (317 focused tests); node is not advertised for local batch inference.,
DropMissingColumns,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""with_missing""],""threshold"":0.05}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
DropMissingRows,train_only,targeted_tests_pass,not_applicable,,Existing train/split/row-effect integration tests passed (317 focused tests); node is not advertised for local batch inference.,
MissingIndicator,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""with_missing""]}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
DummyEncoder,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""cat_a"",""cat_b""]}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
HashEncoder,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""cat_high""],""n_features"":4}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
LabelEncoder,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""cat_a"",""cat_b""]}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
OneHotEncoder,inference_eligible,pass,pass,"[{""case"":""R2"",""params"":{""columns"":[""city"",""x_band""],""handle_unknown"":""ignore"",""drop_original"":true}},{""case"":""C2"",""params"":{""columns"":[""city""],""handle_unknown"":""ignore"",""drop_original"":true}}]",Full-pipeline fit/save/load/predict passed in five-model local test.,217135029658639
OrdinalEncoder,inference_eligible,pass,pass,"[{""case"":""C1"",""params"":{""columns"":[""city""],""handle_unknown"":""use_encoded_value"",""unknown_value"":-1}}]",Full-pipeline fit/save/load/predict passed in five-model local test.,217135029658639
TargetEncoder,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""cat_a"",""cat_b""],""target_column"":""target""}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
WOEEncoder,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""cat_a"",""cat_b""],""target_column"":""target""}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
FeatureGeneration,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""operations"":[{""operation_type"":""arithmetic"",""input_columns"":[""num_a"",""num_b""],""method"":""add""}]}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
FeatureGenerationNode,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""operations"":[{""operation_type"":""arithmetic"",""input_columns"":[""num_a"",""num_b""],""method"":""add""}]}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
FeatureMath,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""operations"":[{""operation_type"":""arithmetic"",""input_columns"":[""num_a"",""num_b""],""method"":""add""}]}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
FeatureInteraction,inference_eligible,pass,pass,"[{""case"":""R1"",""params"":{""columns"":[""x"",""z""]}},{""case"":""C2"",""params"":{""columns"":[""x"",""z""]}}]",Full-pipeline fit/save/load/predict passed in five-model local test.,217135029658639
PolynomialFeatures,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""lat1"",""lat2""]}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
PolynomialFeaturesNode,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""lat1"",""lat2""]}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
